Threshold,FPR,TPR,Precision,Recall,F1,MCC
0.01715,0.0190300116829092,0.986725095079265,0.827248035341168,0.986725095079265,0.899976281497576,0.894044722829309
0.01725,0.0189892433212439,0.986697145269138,0.827550262384545,0.986697145269138,0.90014347328468,0.894212800321577
0.01735,0.0189489912148369,0.986666628639714,0.827848473959848,0.986666628639714,0.900307152755348,0.894377122811839
0.01745,0.018909803226411,0.986636739455007,0.828139000340359,0.986636739455007,0.900466482104807,0.894537090788364
0.01755,0.0188706731850039,0.986609188927882,0.828429648786347,0.986609188927882,0.900626793090798,0.894698272299099
0.01765,0.0188322859190193,0.986579128621889,0.828714557834289,0.986579128621889,0.900782603326885,0.894854693450973
0.01775,0.0187935615067437,0.986547756386033,0.829002034832432,0.986547756386033,0.900939320374695,0.895011961235284
0.01785,0.0187555166549609,0.986518323524756,0.829284878428398,0.986518323524756,0.901094047098966,0.895167379885482
0.01795,0.0187170292986712,0.986489689229484,0.829571388971113,0.986489689229484,0.901251209580067,0.895325371114718
0.01805,0.0186792794498931,0.986459971166063,0.829852384199356,0.986459971166063,0.901404603201843,0.895479459306802
0.01815,0.0186419352302466,0.986431222789933,0.830130657093976,0.986431222789933,0.90155673552387,0.895632362673366
0.01825,0.0186052547673605,0.98640116248394,0.830403921242659,0.98640116248394,0.901705307390305,0.895781555672202
0.01845,0.0185315461594757,0.986339558820803,0.830953463892295,0.986339558820803,0.902003433384158,0.896080900792787
0.01855,0.0184952976652751,0.986310354121242,0.83122416579425,0.986310354121242,0.902150679764564,0.896228881074276
0.01865,0.0184596181054407,0.986278354440669,0.831490344711245,0.986278354440669,0.902294036967105,0.8963726976002
0.01875,0.0184239069381414,0.986247609649529,0.831757129573195,0.986247609649529,0.902438220486971,0.896517478775227
0.01885,0.0183889806895511,0.986218119747824,0.832018314421991,0.986218119747824,0.902579579008012,0.896659496612611
0.01895,0.0183539543506556,0.986187831280116,0.832280327185996,0.986187831280116,0.902721037004023,0.896801576415253
0.01905,0.0183194179274643,0.986158968823128,0.832538994268653,0.986158968823128,0.902861071771691,0.896942335735869
0.01915,0.018284855164719,0.986131589417289,0.832798247338058,0.986131589417289,0.903002020986555,0.897084165403885
0.01925,0.0182503608848141,0.986103468485876,0.833057049892303,0.986103468485876,0.903142342906363,0.89722531879687
0.01945,0.0181831054676568,0.986045629491042,0.833561733471216,0.986045629491042,0.903414572759472,0.897498971368174
0.01955,0.0181495436079631,0.986017565600058,0.833813944368487,0.986017565600058,0.903550895878057,0.897636107378078
0.01965,0.0181159922840911,0.985989843951647,0.834066289854541,0.985989843951647,0.903687392607178,0.897773467760394
0.01975,0.0180830204304068,0.985962920869239,0.834314484562682,0.985962920869239,0.903821740211894,0.897908713321836
0.01985,0.0180503488476379,0.985932461280244,0.834560048530093,0.985932461280244,0.903953010846672,0.898040563654091
0.01995,0.0180179037850334,0.985905766359552,0.834804565120312,0.985905766359552,0.904085202687274,0.898173662759362
0.02005,0.0179856220276636,0.985880155207007,0.835048139031713,0.985880155207007,0.904217251737624,0.898306717723711
0.02025,0.0179213903913044,0.985821916929171,0.835532228773177,0.985821916929171,0.904476469190617,0.898567361775213
0.02035,0.0178894089048501,0.985794309361618,0.835773685457702,0.985794309361618,0.904606301144538,0.898698055688639
